country,country_short,party_short,wave,party_name_english,party_name_original,family,family_label,poppa_id,partyfacts_id,n_experts,mean_n_experts,manichean,indivisible,generalwill,peoplecentrism,antielitism,peopleimm,peoplewealthy,elitepol,elitemedia,eliteecon,elitecult,lrecon,salienceecon,immigration,nativism,lifestyle,laworder,saliencecult,lroverall,eu,climatepolicy,climatescience,complex,emotional,intradem,personalised,populism_mean,populism_cfa,populism_cfa_rescaled
France,FRA,RN,Wave 2 - 2023,National Rally,Rassemblement national,1,Radical Right,1106,433,9,8.76,8.222222222222221,7.625,8.555555555555555,8.777777777777779,9.333333333333334,1.2222222222222223,3,4.111111111111111,4.666666666666667,4.625,4.5,4.777777777777778,5,0.4444444444444444,8.333333333333334,3.4444444444444446,9.222222222222221,8.88888888888889,8.777777777777779,2.2222222222222223,1.5555555555555556,1.5,NA,NA,NA,NA,8.502777777777778,2.9677033287340655,9.137958041371414
France,FRA,RE (LREM),Wave 1 - 2018,Renaissance (The Republic Onwards!),Renaissance (La République En Marche!),3,Liberal,1107,5857,10,9.875,6.3,4,5.7,3.3,1.4,NA,NA,NA,NA,NA,NA,6.7,NA,4.4,2.7,7,5.8,NA,6.111111,9,NA,NA,6.5555553,4,3.5,9,4.14,0.13575306850463775,5.159677548103323
France,FRA,RE (LREM),Wave 2 - 2023,Renaissance (The Republic Onwards!),Renaissance (La République En Marche!),3,Liberal,1107,5857,9,8,3.75,3.125,3.875,2.625,1.2222222222222223,6.375,9.375,6.875,7,7.375,6.125,7.625,9,5.875,1.875,8.125,5.375,4.75,6.375,9.5,6,7.375,NA,NA,NA,NA,2.9194444444444443,-1.3829459637501433,3.0262323319169164
France,FRA,LR,Wave 1 - 2018,The Republicans,Les Républicains,2,Conservatives,1108,8168,10,9.9375,6.8,5.3,5.9,3.7,3.4,NA,NA,NA,NA,NA,NA,6.7,NA,1.9,7.2,2.4,8.1,NA,7.5,5,NA,NA,5.3333335,5.9,4.8,7.6,5.02,0.38585494928671,5.511016852192786
France,FRA,LR,Wave 2 - 2023,The Republicans,Les Républicains,2,Conservatives,1108,8168,9,7.92,4.5,5.25,4.625,4.25,2.75,3,9,6.875,7,7.25,5.875,8.625,8.125,3.125,5.625,3,7.75,6.75,8,7.125,2.875,5.285714285714286,NA,NA,NA,NA,4.275,-0.4510013475676908,4.335413901745938
France,FRA,UDI,Wave 1 - 2018,Union of Democrats and Independents,Union des démocrates et indépendants,3,Liberal,1109,3229,10,8.6875,3.4444444,2.875,4.375,3,1.2222222,NA,NA,NA,NA,NA,NA,6.3333335,NA,4.111111,3.3333333,4.6666665,5.3333335,NA,6.3333335,8,NA,NA,6.25,1.6666666,4.1666665,3.5,2.98333332,-1.178891728107371,3.3128846070739693
France,FRA,UDI,Wave 2 - 2023,Union of Democrats and Independents,Union des démocrates et indépendants,3,Liberal,1109,3229,9,7.76,2.5,3.125,3.25,2.625,1.125,5.75,8,7,7.25,7.375,6.25,8,8.25,5.25,3.375,4.875,6,4.75,6.375,8.75,4.285714285714286,6,NA,NA,NA,NA,2.525,-1.9174800806637216,2.275326964627276
France,FRA,LFI,Wave 1 - 2018,Unbowed France,La France insoumise,6,Radical Left,1110,5858,10,9.9375,8.6,7.1,7.3,8.7,8.9,NA,NA,NA,NA,NA,NA,1.2,NA,7.2,1.9,7.3,2.7,NA,1.5,2.1,NA,NA,1.5555556,8.5,4.5,8.7,8.12,2.6035868692893653,8.626452797713165
France,FRA,LFI,Wave 2 - 2023,Unbowed France,La France insoumise,6,Radical Left,1110,5858,9,7.92,7.875,6,6.75,8,8.875,8.5,0.875,4.375,5.75,5.5,5.25,0.625,6.875,6.375,0.875,9.125,2.25,5.25,0.5,2.75,6.75,8.142857142857142,NA,NA,NA,NA,7.5,1.9779986075811078,7.7476359578404805
France,FRA,DLF,Wave 1 - 2018,France Arise,Debout la France,2,Conservatives,1111,3207,10,9.6875,8.6,6.2,6.8,7.4,7.5,NA,NA,NA,NA,NA,NA,5.2222223,NA,1.4,8.1,2,8.222222,NA,7.6,0.9,NA,NA,1.5555556,7.2,2.375,8.9,7.3,2.082511462514241,7.8944540209665455
France,FRA,DLF,Wave 2 - 2023,France Arise,Debout la France,2,Conservatives,1111,3207,9,7.44,7.75,7.125,7.875,8,8.375,2.625,5.125,3.4285714285714284,5.285714285714286,5.714285714285714,7,7,5.714285714285714,1.5,8.75,1.7142857142857142,8.875,8.375,9.125,1.125,1.125,1.2,NA,NA,NA,NA,7.825,2.408569460936027,8.352495319576905
France,FRA,NPA,Wave 1 - 2018,New Anti-Capitalist Party,Nouveau Parti anticapitaliste,6,Radical Left,1112,NA,10,9.5,8.6,6.5555553,6,8.666667,9.3,NA,NA,NA,NA,NA,NA,0.9,NA,9,1.1,8.3,2.2222223,NA,1.7,2.5,NA,NA,1.4444444,7.2,4,3.2,7.8244444600000005,2.0936885565981647,7.910155432107112
